gender_female,gender_male,race/ethnicity_group A,race/ethnicity_group B,race/ethnicity_group C,race/ethnicity_group D,race/ethnicity_group E,parental level of education_associate's degree,parental level of education_bachelor's degree,parental level of education_high school,parental level of education_master's degree,parental level of education_some college,parental level of education_some high school,lunch_free/reduced,lunch_standard,test preparation course_completed,test preparation course_none,average score,success
False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,-0.1167382971511595,False
True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,0.1519500060613196,False
False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,-1.1627144405790923,False
True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,0.2600837449343762,False
False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,0.47799997811961487,False
False,True,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,0.34895573195467905,False
False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,-0.5689647943827786,False
True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,0.16862074504740923,False
False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,0.03797489532653847,False
True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,0.0814918172326124,False
True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,0.3048729874503211,False
True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,-0.31798379135030846,False
True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,-0.22425984177900993,False
False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,-1.854003437703781,False
False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True,1.3932359680602964,False
False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False,0.838434192518203,False
True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,0.7722629238784755,False
True,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True,-0.6706449671489046,False
True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,1.109572052947775,False
False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,-0.743316953778753,False
False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,-0.7389357298233925,False
True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,-0.091588021553491,False
True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,-0.6100329393080278,False
False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,-0.2962253303972715,False
True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,-0.9631177018190687,False
False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,-0.6130475388871367,False
True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False,-0.4719904858164196,False
True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,0.21425794122451203,False
True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,0.0848364799940536,False
False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,0.9947961404350263,False
False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True,-1.0516596256570392,False
False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,True,False,0.2349334693367077,False
False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,-1.4346059509034417,False
False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,0.8360789390674906,False
True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,True,False,0.8625950588051424,False
True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,-1.9210698118878566,False
True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False,1.1054265884083663,False
False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,-1.0517067775402298,False
False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,-0.6308491428335263,False
True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,True,-3.9193445208193456,False
False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False,0.48092105416861114,False
False,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,-2.032312454106403,False
False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,-0.5630291187546734,False
True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,0.3760848261738055,False
True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,-0.6097500280088858,False
False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,-0.25284908390450034,False
False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True,-1.8801902744953687,False
True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,0.061240656069129845,False
False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,-0.6316027927283036,False
True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,-0.9564755281793769,False
True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,-0.210274419425965,False
False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,-0.5025113946801775,False
True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,-1.4069589662054895,False
False,True,False,False,True,False,False,False,False,False,False,False,True,True,False,False,True,-0.6544449667584501,False
False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,-1.4303190307144618,False
False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,-1.7888687302579729,False
False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,-2.790573521648786,False
False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False,0.7918075870303712,False
True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,True,False,0.08502508752681497,False
True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,-0.11782201022826912,False
True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,-1.2767838550802542,False
False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,-1.4338994528918547,False
False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,-1.1686972680903878,False
False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,False,True,-0.09898384508796026,False
False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,-1.9663297929994368,False
True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,0.7054794609935419,False
True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,0.9716710551057378,False
True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,0.28033490609785877,False
True,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,-0.18206161212972904,False
True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,0.8425325051744214,False
True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,0.17121175791407325,False
False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,-2.366559831713403,False
False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,0.39723109288163627,False
False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,-1.4561294326767953,False
True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,1.1939685122463366,False
False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,0.8382927368686319,False
False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False,-0.22920610809638622,False
True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,True,False,0.03943504323290253,False
True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,-0.3603234766491605,False
True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,-0.20636393406623968,False
False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,0.21129049352859355,False
False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,True,False,0.2828787670813324,False
True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,1.3743034991536067,False
False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,-1.1709110658915292,False
False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,1.5679645622855254,False
True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,-0.14085279179117707,False
True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,1.865289259506685,False
False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False,-0.23184427284624057,False
True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,-0.11113268470538669,False
True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,0.05455133054624741,False
True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,1.3501890045135891,False
False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,-0.831764573850343,False
False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,-1.0972968218341421,False
True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,-0.895439133389787,False
True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True,False,2.1292199039345494,False
False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,0.703312815075591,False
True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,0.8636787718822521,False
True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,0.7952937054413834,False
True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,-0.6275987838384658,False
True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,-0.3147805842384383,False
True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,1.2651803509698212,False
False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,1.5264256787646406,False
True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,1.5737587822640593,False
False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,-0.6104565260204727,False
False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True,0.7278980483112436,False
True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,1.4438194305547754,False
False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,0.08017312497581935,False
False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,0.28542262806480606,False
False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,0.7735352444883464,False
True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,-1.1668599051185011,False
False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,1.148755683017947,False
False,True,False,False,True,False,False,False,False,False,False,False,True,True,False,True,False,-1.638395306086064,False
False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False,0.612980680148924,False
True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,0.8162042127332626,False
False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,0.5510020279317956,False
False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,-0.941688523812096,False
False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False,-1.2721197198257517,False
False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,-0.502181331497845,False
True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,-0.2514360878813266,False
False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,-0.05782217663259861,False
True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,0.3473069765155537,False
True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,-0.4086459894593079,False
True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False,-1.1619136388011249,False
False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,-1.2597359010286417,False
False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,0.7877092743741528,False
True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,-2.4281612688650087,False
False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,0.9731319832483699,False
False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,0.08022027685900969,False
True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,True,False,0.45935042051206737,False
False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,True,False,1.9975846449029495,False
False,True,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False,-0.11871711577261734,False
False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,0.18924912127641455,False
True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,-0.18201446024653867,False
False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,-1.1886655179547285,False
False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,-0.29429366365900406,False
True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,0.976758777072685,False
True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,0.3266786002865484,False
False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True,-0.5201243910938057,False
True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,0.6883372031755489,False
False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,-0.25468644687638714,False
False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,0.6821665483677601,False
True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False,0.9980464994300867,False
False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,-1.0975325812500938,False
False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,-1.0973911256005229,False
True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,1.3530629286793954,False
True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,2.063237242827583,False
False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,-1.0771871163202305,False
True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,0.19640918539493205,False
True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,0.5762466072958449,False
True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,0.19593844679929695,False
False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,0.3480134745271406,False
False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,1.2623072070402834,False
True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,0.952550758902555,False
True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,-0.07477582691783032,False
True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,-1.2312881145527224,False
True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,1.2424324807060552,False
True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,-1.0089906574121232,False
True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,True,False,0.4832291557361332,False
True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,-0.42376227677265277,False
True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,True,False,2.0852314631965716,False
False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,0.03580746917231925,False
True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,-0.6049923692242709,False
True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,-1.2538002254005367,False
True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,0.014896961880440174,False
False,True,False,False,True,False,False,False,False,False,False,False,True,True,False,True,False,-1.27419284221359,False
False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,-0.14052272860884465,False
False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,0.39497014319730467,False
False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,True,False,-0.16350635828856225,False
False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,True,-1.2959984550498176,False
True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,1.0859290771396608,False
True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,True,-0.07642458235695575,False
False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,0.7741474387335526,False
True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,-0.25308484332045206,False
False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,-0.05664415978910833,False
True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,0.7747124810955685,False
False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,-0.7879175887619366,False
False,True,False,False,True,False,False,False,False,False,False,False,True,True,False,True,False,-0.22680370276248354,False
False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,-0.9189878054315205,False
True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True,-1.1196682572686536,False
True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,0.6609259778935487,False
True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,True,False,0.7526711088433894,False
True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,0.4426325296427874,False
False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,0.2636641671117691,False
True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,-0.20495093804306594,False
False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,-1.3711671507799492,False
False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,True,False,0.4341058411480181,False
False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,0.053326942055835026,False
False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False,0.7497508130306613,False
True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True,0.6186334444778873,False
True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True,-0.4095882468868464,False
False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,True,False,0.770755624088921,False
False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,-2.525182729314558,False
True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,-0.8703360096753089,False
False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,-0.813492231308318,False
False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False,1.2427153920051974,False
False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False,0.8623129277422686,False
True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,True,False,1.194157119779098,False
True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,-1.9640216914319144,False
False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,0.21962857449060139,False
False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False,-0.6772871407885966,False
True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False,-0.11810492152741119,False
False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,0.9300857999379312,False
True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,True,-0.4719904858164196,False
False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,0.8377748463898064,False
True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,-0.2737132195494573,False
True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,-1.0730888036640123,False
True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,0.259330095039599,False
False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,-0.9462112034170275,False
False,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,0.01772373416305591,False
True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,1.6413901988101507,False
False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,0.05483424184538948,False
False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,-1.6114076675165088,False
True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,0.7325142514462876,False
False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,1.1954765922721595,False
False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,1.0150001497153187,False
False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,0.6354927909967382,False
False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,-0.1634592064053719,False
True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,True,False,-0.12488855081667427,False
False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,-1.0323507219210954,False
False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,0.9035217480808208,False
False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,0.08022027685900969,False
True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,0.9499125941527007,False
True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,-0.9005740072399248,False
False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True,-1.1207983419926852,False
False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,0.3271029672352615,False
False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,0.6366236559570381,False
False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,False,True,0.7904417428903878,False
True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,-0.1601145436439307,False
True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,-0.2748904561566794,False
False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,-0.49780010754248466,False
False,True,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False,-1.2987309235660527,False
True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,0.7519646108318025,False
True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False,-0.07223196593435664,False
False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,0.6399683187184793,False
False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,-1.010403653435297,False
True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True,0.040282996894060404,False
True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,0.040377300660441096,False
False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,True,False,0.6371886983190539,False
True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,0.4374976557926497,False
True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,0.5304208035859806,False
True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,True,False,0.37495396121350555,False
False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,0.726814335234134,False
True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,True,-1.2979772736712754,False
True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,1.7498540008655397,False
False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,0.3043079450883053,False
False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True,-1.370272045235601,False
True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,0.3493793186671239,False
True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,0.325029844847423,False
True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,True,False,1.5948107452055094,False
True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,0.3067575023053982,False
False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,-0.23170281719666952,False
False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,-1.2104239789077653,False
True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,-1.009838611073281,False
True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,0.059686204396385084,False
False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,True,False,1.0179212257643149,False
False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,0.6822137002509505,False
True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,1.4849339471269467,False
True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False,-0.14438606208537963,False
True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,True,0.6226846052509153,False
False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,-0.3914094278749341,False
False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,-1.251868558662269,False
False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,-1.4314027437915715,False
True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,0.726531423934992,False
True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,0.5060241778830893,False
True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,-1.653040854803774,False
False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,0.9271175720057445,False
False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False,1.4107075088243535,False
True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,0.7790937050509289,False
False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,0.7894994854628492,False
False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,True,False,0.5923523039199187,False
False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,0.23578142299786556,False
False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,0.5681442857497888,False
False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,-0.5199829354442347,False
True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,0.21600100043001813,False
False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,0.7030299037764488,False
False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,-0.3204805004505918,False
False,True,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False,-1.6351449470910036,False
False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False,0.21717901727350844,False
False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,-1.4992699197536146,False
False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,1.0856469460767872,False
False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,0.8138018073993599,False
